#run min run max lukasik@nz21-27:dla modulow z 0.5 pF i zmodyfikowanymi motherboardami + undershoot parameter
# RC from exp fit to the tail 
#          (p9)           mean pds        Si fall time (p5) RC (p11 from tls)    !!tz0!! CsI R (p7)  !!tz1!! CsI L decay (p8) CsI risetime (p10)
#    p04   p14  p24    p05  p15  p25        p06  p16  p26     p07   p17   p27       p08  p18  p28      p09  p19  p29       p010  p110  p210
3        3000
12   1.96 1.61 2.92  970.06 1179.02 1128.20 28.42 33.52 20.0  956.1 1011.4 1058.2 103.53 86.77 79.27  98.29 469.42 442.17  10.08 32.47 30.44
13   1.98 1.95 3.08 1271.50 1145.76  913.36 30.01 32.03 20.0  894.6  988.0 1004.4 105.02 85.48 74.62 100.66 417.44 443.14  10.96 33.12 35.59
14   1.70 1.95 3.75 1003.16 1093.63 1146.40 28.22 32.03 20.0  875.1 1000.0 1038.9 111.57 78.61 77.39  95.00 328.46 464.21  11.89 26.78 32.15
15   1.24 2.75 2.92 1004.30  996.00 475.00  26.3  24.5  20.0 1000.0 1000.0 1000.0  77.10 87.21 75.79 385.39 341.65 390.88   9.95 31.08 10.67
16   1.28 2.37 1.43 1044.59  993.67 35.0    24.3  19.8  20.0  315.6  285.9  743.6  76.55 80.14 77.88 396.81 367.16 386.18  10.16 21.99  5.84
17   1.34 2.24 1.73  948.17 1136.97 35.0    24.7  19.1  20.0  300.2  287.4  737.5  75.67 78.14 74.42 389.59 351.37 386.18  10.18 22.38  6.89
18   1.17 1.87 2.85 1039.51 1202.87 35.0    20.4  19.8   9.2  388.1  398.3  626.4  75.10 82.10 78.27 389.21 234.19 388.60  10.01 21.37 10.66
19   1.26 2.25 1.38 1044.00 1073.91 35.0    25.4  19.8  20.0  289.6  282.7  772.3  76.32 81.93 75.64 390.39 366.90 386.18   9.91 22.13  5.45
20   1.40 2.58 1.75 1151.22 1001.12 35.0    23.7  20.3  20.0  298.8  254.6  752.0  75.63 82.09 78.17 384.43 351.08 386.18  10.14 24.39  7.37
21   1.41 2.46 2.98  964.14 1132.69 35.0    24.0  21.1  20.0  307.1  248.7  584.7  79.14 85.13 78.76 369.86 342.17 388.15  12.65 29.24 11.12
22   1.27 2.59 2.88 1321.50  915.94 35.0    27.3  22.0  20.0  321.0  253.1  634.0  75.01 79.84 75.86 385.53 340.51 391.87   9.88 29.01  9.96
23   2.43 3.22 3.18  962.21 1148.56 35.0    19.6  13.4  22.3  876.6  880.4  629.3  76.05 70.28 79.20 391.29 492.50 505.02  10.28 23.42 11.43
24   3.57 3.61 3.61  35.0 35.0 35.0         20.0  20.0  20.0  576.9  491.7  493.5  77.47 77.47 78.53 388.43 388.43 366.03  11.25 11.25 13.00
25   3.30 3.10 1.44  35.0 35.0 35.0         20.0  20.0  20.0  588.8  350.0  350.0  75.91 75.91 75.70 398.79 398.79 386.18   9.63  9.63  5.65
26   3.17 3.18 1.79  35.0 35.0 35.0         20.0  20.0  20.0  618.1  563.4  701.8  76.82 76.82 78.86 381.27 381.27 386.18  10.08 10.08  7.89
27   3.68 3.42 2.70  35.0 35.0 35.0         20.0  20.0  20.0  540.5  512.3  589.1  77.79 77.79 79.69 385.58 385.58 391.81  10.94 10.94 11.56
28   3.30 3.16 1.41  35.0 35.0 35.0         20.0  20.0  20.0  631.6  599.4  739.6  74.76 74.76 80.39 391.91 391.91 386.18   9.93  9.93  6.56
29   3.31 2.88 1.88  35.0 35.0 35.0         20.0  20.0  20.0  582.8  668.5  727.1  75.83 75.83 76.84 391.58 391.58 386.18   9.92  9.92  7.80
30   3.92 3.48 3.25  35.0 35.0 35.0         20.0  20.0  20.0  500.6  505.5  633.3  80.77 80.77 74.80 383.74 383.74 389.33  12.01 12.01 10.25
31   3.12 3.14 1.38  35.0 35.0 35.0         20.0  20.0  20.0  628.1  570.7  717.6  77.42 77.42 80.47 391.58 391.58 386.18   9.92  9.92  6.33
32   3.25 3.15 1.93  35.0 35.0 35.0         20.0  20.0  20.0  594.8  555.4  745.5  75.15 75.15 77.97 385.59 385.59 386.18   9.67  9.67  7.94
33   3.43 3.33 3.33  35.0 35.0 35.0         20.0  20.0  20.0  543.2  326.4  562.0  76.24 76.24 80.18 362.84 362.84 380.36  13.19 13.19 12.91
34   3.59 3.61 3.22  35.0 35.0 35.0         20.0  20.0  20.0  586.2  483.5  546.7  81.79 81.79 80.84 377.31 377.31 396.99  13.40 13.40 12.55
